norad_id,name,constellation,orbit_type,maneuver_type,delta_period_min,delta_inclination,delta_eccentricity,curr_period_min,curr_inclination,curr_eccentricity,prev_fetched_at,curr_fetched_at,prev_epoch,curr_epoch
52904,MEASAT 3D,"",GEO,ALTITUDE_CHANGE,-0.0600586,0,1.9e-05,1436.07,0.05,0.000283,2026-04-02 20:58:00+00,2026-04-03 21:14:00+00,26091.97386249,26093.14905964
28912,METEOSAT-9 (MSG-2),"",GEO,ALTITUDE_CHANGE,0.119995,0,-0.000184,1436.08,9.19,3.6e-05,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.54519521,26092.97314133
40482,MMS 1,"",HEO,ALTITUDE_CHANGE,-0.890137,0.0199966,0.000109017,5080.58,71.13,0.83879,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
40483,MMS 2,"",HEO,ALTITUDE_CHANGE,-0.72998,0.0199966,9.50098e-05,5080.74,71.13,0.83885,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
40484,MMS 3,"",HEO,ALTITUDE_CHANGE,-0.739746,0.0199966,9.39965e-05,5080.74,71.13,0.838775,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
40485,MMS 4,"",HEO,ALTITUDE_CHANGE,-0.899902,0.0199966,0.000108957,5080.58,71.13,0.838743,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
48212,ONEWEB-0179,OneWeb,LEO,ALTITUDE_CHANGE,-0.0999985,0,-0.000147,105.33,87.89,0.00024,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.33335648
59915,PAKSAT-MM1,"",GEO,ALTITUDE_CHANGE,-0.330078,0,-0.000125,1436.07,0.01,0.00022,2026-04-02 01:11:00+00,2026-04-03 09:09:00+00,26091.47416120,26092.54372188
43488,SES-12,"",GEO,ALTITUDE_CHANGE,0.0600586,0,-2.7e-05,1436.15,0.04,0.000147,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.76890038,26092.91155429
44758,STARLINK-1053,Starlink,LEO,ALTITUDE_CHANGE,-0.090004,0,7.2e-05,88.38,53.02,0.000838,2026-04-01 13:01:00+00,2026-04-01 15:02:00+00,26091.01479078,26091.07614443
61537,STARLINK-11331 [DTC],Starlink,LEO,ALTITUDE_CHANGE,-0.25,0,-0.000245,89.09,53.14,0.000629,2026-04-02 16:56:00+00,2026-04-03 09:09:00+00,26092.28498977,26092.53260594
63555,STARLINK-11687 [DTC],Starlink,LEO,ALTITUDE_CHANGE,-0.830002,0,-0.000172,88.17,42.98,0.001054,2026-03-31 10:13:00+00,2026-03-31 20:53:00+00,26089.84433812,26090.21303226
46038,STARLINK-1567,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,9.00001e-06,92.03,53.09,0.000171,2026-04-03 00:59:00+00,2026-04-03 11:09:00+00,26092.58564653,26092.96898094
46349,STARLINK-1575,Starlink,LEO,ALTITUDE_CHANGE,-0.0800018,0,-5.6e-05,89.68,53.02,0.000707,2026-04-03 09:09:00+00,2026-04-03 23:19:00+00,26092.84452898,26093.40491833
46131,STARLINK-1625,Starlink,LEO,ALTITUDE_CHANGE,-0.090004,-0.0100021,-2.1e-05,89.59,53.03,0.000803,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.78081838,26093.46509737
46533,STARLINK-1648,Starlink,LEO,ALTITUDE_CHANGE,-0.18,0,-2.3e-05,87.75,53.03,0.000593,2026-03-30 15:22:00+00,2026-03-30 19:22:00+00,26089.18648308,26089.30838089
46354,STARLINK-1657,Starlink,LEO,ALTITUDE_CHANGE,-0.090004,0,3.79999e-05,89.67,53.04,0.001325,2026-04-03 09:09:00+00,2026-04-03 23:19:00+00,26092.79240700,26093.47731068
46338,STARLINK-1752,Starlink,LEO,ALTITUDE_CHANGE,-0.309998,0,-9.8e-05,87.73,53.02,0.000887,2026-03-29 01:09:00+00,2026-03-29 07:11:00+00,26087.58969462,26087.83366274
46344,STARLINK-1765,Starlink,LEO,ALTITUDE_CHANGE,-0.130005,0,-4.5e-05,88.2,53.02,0.00081,2026-04-03 19:13:00+00,2026-04-03 23:19:00+00,26093.31592284,26093.49970329
46717,STARLINK-1820,Starlink,LEO,ALTITUDE_CHANGE,-0.139999,0,2.8e-05,88.89,53.03,0.000324,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.88630802,26093.38020554
47572,STARLINK-1971,Starlink,LEO,ALTITUDE_CHANGE,-0.479996,0,-0.000245,87.66,53.02,0.000692,2026-04-02 07:16:00+00,2026-04-02 14:56:00+00,26091.79281913,26092.15890508
47380,STARLINK-2100,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,5.1e-05,93.81,53.06,0.00017,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.33335648
47724,STARLINK-2116,Starlink,LEO,ALTITUDE_CHANGE,-0.0599976,0,3.3e-05,89.72,53.03,0.000658,2026-04-03 11:09:00+00,2026-04-03 21:14:00+00,26092.91389418,26093.34990078
47728,STARLINK-2131,Starlink,LEO,ALTITUDE_CHANGE,-0.0599976,0.0200005,2.7e-05,93.61,53.09,0.000166,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.33335648
47736,STARLINK-2147,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,1.4e-05,93.75,53.08,0.00016,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.33335648
48321,STARLINK-2457,Starlink,LEO,ALTITUDE_CHANGE,0.0599976,0,-0.000147,94.11,53.16,0.000154,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.94976295,26093.33335648
48139,STARLINK-2482,Starlink,LEO,ALTITUDE_CHANGE,0.0799942,0,0.000917,94.24,53.16,0.001124,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.56449672,26093.15288617
48662,STARLINK-2726,Starlink,LEO,ALTITUDE_CHANGE,-0.18,0,0.000758,93.98,53.16,0.000888,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.88640986,26092.95028709
56695,STARLINK-30121,Starlink,LEO,ALTITUDE_CHANGE,-0.0599976,0,6.8e-05,95.78,43,0.000127,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.52547937,26093.25586009
56690,STARLINK-30124,Starlink,LEO,ALTITUDE_CHANGE,-0.120003,0,-9.4e-05,95.67,43,0.000126,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.60772253,26093.25001157
57903,STARLINK-30449,Starlink,LEO,ALTITUDE_CHANGE,0.18,0,-0.00123,94.32,43,0.000147,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.57882459,26093.25001157
49169,STARLINK-3046,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,-3.6e-05,96.11,70,0.000334,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.73558390,26093.33335648
58003,STARLINK-30546,Starlink,LEO,ALTITUDE_CHANGE,-0.0600052,-0.00999832,-7.99999e-06,92.06,43,0.00019,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
58456,STARLINK-30960,Starlink,LEO,ALTITUDE_CHANGE,-0.269997,0,-0.000719,88.68,42.98,0.002773,2026-03-31 02:07:00+00,2026-03-31 10:13:00+00,26089.42735272,26089.67379309
58447,STARLINK-30976,Starlink,LEO,ALTITUDE_CHANGE,-0.110001,0,2.70001e-05,94.17,43,0.001121,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.81093777,26092.94113242
58522,STARLINK-31023,Starlink,LEO,ALTITUDE_CHANGE,-0.129997,0,6.3e-05,88.58,42.99,0.000582,2026-03-31 12:13:00+00,2026-03-31 16:52:00+00,26090.04068807,26090.10213876
49423,STARLINK-3149,Starlink,LEO,ALTITUDE_CHANGE,-0.409996,0,3.2e-05,87.33,53.2,0.000294,2026-04-01 06:58:00+00,2026-04-01 08:59:00+00,26090.58605127,26090.88982057
49408,STARLINK-3151,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,2e-06,92.93,53.22,0.000125,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.33335648
59538,STARLINK-31725,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,-3.80001e-05,91.28,42.99,0.002081,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
60139,STARLINK-31867,Starlink,LEO,ALTITUDE_CHANGE,-0.800003,0,-0.00019,88.67,53.13,0.001123,2026-03-31 02:07:00+00,2026-03-31 10:13:00+00,26089.13339883,26089.75156358
60735,STARLINK-32272,Starlink,LEO,ALTITUDE_CHANGE,-0.0999985,0,-8.6e-05,89.65,53.13,0.00147,2026-04-03 00:59:00+00,2026-04-03 21:14:00+00,26092.60275346,26093.41208057
61703,STARLINK-32335,Starlink,LEO,ALTITUDE_CHANGE,-0.0599976,0,-4.9e-05,91.33,53.14,0.001144,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
62176,STARLINK-32516,Starlink,LEO,ALTITUDE_CHANGE,0.130005,0,0.000338,96.22,70,0.000717,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.93173247,26092.99897641
62177,STARLINK-32542,Starlink,LEO,ALTITUDE_CHANGE,-0.110001,0,0.00103,96,70,0.00144,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.38528159,26093.18606350
62169,STARLINK-32558,Starlink,LEO,ALTITUDE_CHANGE,-0.0699997,0,0.000505,96.04,70,0.000897,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.38945932,26093.19036288
63096,STARLINK-32911,Starlink,LEO,ALTITUDE_CHANGE,-0.110001,0,-0.00015,96.11,70,0.000259,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.89905954,26093.25001157
63083,STARLINK-32932,Starlink,LEO,ALTITUDE_CHANGE,0.120003,0,0.000289,96.22,70,0.000581,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.87342659,26092.94056294
64316,STARLINK-33590,Starlink,LEO,ALTITUDE_CHANGE,0.139999,0,0.000637,96.25,70,0.001051,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.41692748,26093.15154542
63948,STARLINK-33983,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,2.5e-05,96.11,70,0.000322,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.72629754,26093.25001157
63943,STARLINK-33985,Starlink,LEO,ALTITUDE_CHANGE,-0.0699997,0,0.000666,96.07,70,0.000823,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.77670020,26093.24374747
63870,STARLINK-33986,Starlink,LEO,ALTITUDE_CHANGE,-0.129997,0,0.000992,95.98,70,0.001341,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25561465
63938,STARLINK-33988,Starlink,LEO,ALTITUDE_CHANGE,-0.0699997,0,3.4e-05,96.11,70,0.000364,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.74341416,26093.25001157
